subject,grade,prompt,first_word,question_length
history,6,What was the impact of the Crusades on the Middle Ages?,What,55
physics,7,What causes the tides in the oceans?,What,36
history,7,What were the key features of feudalism?,What,40
physics,8,How do solar cells generate electricity?,How,40
history,8,What was the significance of the Gutenberg press?,What,49
physics,9,How do LED lights work?,How,23
history,9,What was the impact of the Industrial Revolution on cities?,What,59
physics,10,What is the role of enzymes in the human body?,What,46
physics,11,What are the principles of genetic inheritance?,What,47
physics,5,Why do we sweat when we're hot?,Why,31
history,5,What was daily life like in Ancient Egypt?,What,42
physics,6,How do plants absorb water?,How,27
history,6,How did ancient civilizations use astronomy?,How,44
history,7,How did the Silk Road impact global trade?,How,42
physics,8,What is nuclear power and how is it generated?,What,46
history,8,What was the impact of the discovery of America?,What,48
physics,9,How does a thermostat maintain room temperature?,How,48
physics,10,How do wind turbines generate electricity?,How,42
history,10,What was the impact of the American Civil War on society?,What,57
history,11,What was the impact of the Great Depression on the world?,What,57
physics,12,What are stem cells and how are they used?,What,42
history,12,How did the Cold War affect international relations?,How,52
physics,5,How does a plant grow from a seed?,How,34
history,5,What were the key features of Spartan society?,What,46
history,6,What role did religion play in the Aztec civilization?,What,54
physics,7,How does a bicycle stay balanced?,How,33
history,7,What was the significance of the Battle of Waterloo?,What,52
physics,8,What are the different states of matter?,What,40
physics,9,What is the importance of biodiversity?,What,39
physics,10,How do cameras work?,How,20
history,10,What were the causes of the Industrial Revolution?,What,50
physics,11,What is the role of DNA in genetics?,What,36
history,11,How did World War II change the world?,How,38
physics,12,What are the latest advancements in renewable energy?,What,53
history,12,What was the significance of the Cuban Missile Crisis?,What,54
physics,5,Why does the Moon change shape?,Why,31
history,5,What was the significance of the Trojan War?,What,44
physics,6,How do birds migrate long distances?,How,36
history,6,What were the achievements of the Song Dynasty?,What,47
physics,7,How do different materials conduct heat?,How,40
history,7,What was the impact of the Magna Carta?,What,39
history,8,What was the role of women in Ancient Greece?,What,45
history,9,What was the impact of the voyages of Christopher Columbus?,What,59
history,10,What were the causes of World War I?,What,36
physics,11,What are the principles of quantum physics?,What,43
physics,12,What is the significance of gene editing?,What,41
history,12,How did the formation of the United Nations change global politics?,How,67
history,5,What were the main functions of the Roman Senate?,What,49
physics,6,How do volcanoes form?,How,22
history,6,What was the significance of the Code of Justinian?,What,51
physics,7,What is the principle of buoyancy?,What,34
history,7,How did the Byzantine Empire influence the modern world?,How,56
physics,8,What are the causes of climate change?,What,38
history,8,What was the impact of the Reformation on religious institutions?,What,65
physics,9,How does Wi-Fi work?,How,20
history,11,What was the impact of the Treaty of Versailles?,What,48
history,12,How did World War II affect civil rights movements around the world?,How,68
physics,5,How do shadows form?,How,20
history,5,What were the main contributions of the Ancient Incas?,What,54
physics,6,Why do we see different colors?,Why,31
history,6,How did the Renaissance impact European politics?,How,49
physics,7,What causes a rainbow?,What,22
history,7,What was the role of the samurai in feudal Japan?,What,49
history,8,What impact did the Viking explorations have on Europe?,What,55
physics,9,How does a fridge keep food cold?,How,33
history,9,What were the causes and effects of the Crusades?,What,49
physics,10,What is the Big Bang Theory?,What,28
history,10,How did the Enlightenment influence modern science?,How,51
physics,11,How does a GPS system determine location?,How,41
history,11,What was the impact of the Spanish Armada?,What,42
physics,12,What are the uses of nanotechnology?,What,36
history,12,How did the invention of the printing press change society?,How,59
physics,5,Why do we have seasons?,Why,23
history,5,What was the significance of the Trojan War in ancient Greece?,What,62
physics,6,What causes earthquakes and volcanoes?,What,38
history,6,How did the Silk Road influence ancient trade?,How,46
physics,7,How does a car engine work?,How,27
history,7,What was the significance of the Magna Carta in medieval England?,What,65
physics,8,What is photosynthesis?,What,23
physics,9,What are the principles of flight?,What,34
physics,10,What are the principles of quantum mechanics?,What,45
physics,11,What is the Higgs boson?,What,24
history,11,How did the French Revolution affect Europe?,How,44
physics,12,What are the latest developments in space exploration?,What,54
history,12,What was the impact of the Cold War on global politics?,What,55
physics,5,How do magnets work?,How,20
history,5,What was daily life like in ancient Mesopotamia?,What,48
physics,6,What is the solar system?,What,25
history,6,What was the significance of the Mayan civilization?,What,52
physics,7,How does a bicycle work?,How,24
history,7,What was the impact of the discovery of the Americas on Europe?,What,63
physics,8,How does a radio work?,How,22
history,8,What were the effects of the Industrial Revolution?,What,51
physics,9,How do plants reproduce?,How,24
physics,10,How do telescopes work?,How,23
history,10,What were the main events of World War I?,What,41
physics,11,How do electric motors work?,How,28
history,11,How did colonialism impact Africa and Asia?,How,43
physics,12,What is the theory of relativity?,What,33
history,12,How did World War II change international relations?,How,52
physics,5,Why do objects fall to the ground?,Why,34
history,5,What was the role of women in ancient societies?,What,48
physics,6,What are acids and bases?,What,25
history,6,How did the Roman Empire influence modern government?,How,53
physics,7,How do airplanes stay in the air?,How,33
history,7,What was the impact of the Black Death on Europe?,What,49
physics,8,What is the periodic table?,What,27
history,8,How did the Ottoman Empire rise to power?,How,41
physics,9,How does the Internet work?,How,27
history,9,What were the causes and consequences of the French Revolution?,What,63
physics,10,What are the properties of light?,What,33
history,10,How did the Renaissance influence European culture?,How,51
physics,11,How do vaccines work?,How,21
physics,12,What are the challenges of Mars colonization?,What,45
history,12,What was the significance of the Berlin Wall?,What,45
history,5,What were the main achievements of the Ancient Greeks?,What,54
physics,6,What is electricity?,What,20
history,6,How did the Middle Ages shape modern Europe?,How,44
physics,7,What is the Milky Way galaxy?,What,29
history,7,What was the significance of the Reformation?,What,45
physics,8,How do we measure earthquakes?,How,30
history,8,What was the impact of the discovery of electricity?,What,52
physics,9,How do smartphones work?,How,24
physics,10,What are renewable energy sources?,What,34
physics,11,How does the human brain work?,How,30
history,11,What was the impact of World War I on global politics?,What,54
physics,12,What is artificial intelligence?,What,32
history,12,How did the Vietnam War affect America?,How,39
physics,5,Why do we need to drink water?,Why,30
history,5,What was the impact of Alexander the Great's conquests?,What,55
physics,6,What are the states of matter?,What,30
history,6,How did the Crusades affect Europe?,How,35
physics,7,What is the structure of an atom?,What,33
history,7,What was the impact of the Gutenberg printing press?,What,52
history,8,What were the effects of the Reformation on religious institutions?,What,67
physics,9,How do cameras capture images?,How,30
physics,10,How does a computer work?,How,25
history,10,What was the significance of the French Revolution?,What,51
physics,11,How do solar panels work?,How,25
history,11,How did the Cold War start?,How,27
physics,12,What is the significance of the human genome project?,What,53
history,12,What was the impact of the fall of the Soviet Union?,What,52
history,5,What was life like in ancient Athens?,What,37
physics,6,How does a vacuum cleaner work?,How,31
history,6,What was the role of the Church in medieval Europe?,What,51
physics,7,What are the phases of the Moon and how do they occur?,What,54
history,7,How did the Han Dynasty impact China?,How,37
physics,8,How does a computer process information?,How,40
history,8,What was the impact of Marco Polo's travels?,What,44
physics,9,What is nuclear energy and how is it produced?,What,46
history,9,What were the causes of the Thirty Years' War?,What,46
physics,10,What is string theory in physics?,What,33
history,10,How did the Age of Exploration impact the world?,How,48
physics,11,How do rockets reach space?,How,27
history,11,What was the impact of the American Civil Rights Movement?,What,58
physics,12,What are the latest advancements in robotics?,What,45
history,12,How did the Gulf War impact the Middle East?,How,44
physics,5,How do bees make honey?,How,23
history,5,What was the significance of the Roman Republic?,What,48
physics,6,How do plants use carbon dioxide?,How,33
history,6,What were the main causes of the fall of the Roman Empire?,What,58
physics,7,How does a refrigerator work?,How,29
history,7,What was the impact of the Renaissance on global exploration?,What,61
physics,8,How does an electric motor work?,How,32
history,8,What were the key events of the Protestant Reformation?,What,55
physics,9,How does a smartphone touch screen work?,How,40
history,9,What were the consequences of the Industrial Revolution?,What,56
physics,10,How do solar panels generate electricity?,How,41
history,10,What was the impact of Napoleon's rule in Europe?,What,49
physics,11,How do satellites orbit the Earth?,How,34
history,11,What was the significance of the Berlin Conference in 1884?,What,59
physics,12,What are the possibilities of space tourism?,What,44
history,12,What was the impact of the dissolution of the Soviet Union?,What,59
physics,5,Why do we blink?,Why,16
history,5,What was the culture of the Ancient Mayans?,What,43
physics,6,What is the process of photosynthesis?,What,38
history,6,How did the Byzantine Empire contribute to history?,How,51
physics,7,How does a pendulum clock work?,How,31
history,7,What was the significance of the Battle of Hastings in 1066?,What,60
physics,8,What are the basics of electrical circuits?,What,43
history,8,How did the Silk Road affect global trade?,How,42
physics,9,How do windmills generate power?,How,32
history,10,What was the impact of the American Revolution globally?,What,56
physics,11,What is the function of DNA in genetics?,What,40
physics,12,How does artificial intelligence learn?,How,39
history,12,What was the impact of the Korean War?,What,38
physics,5,How does a flashlight create light?,How,35
history,5,What were the achievements of the Ancient Egyptians?,What,52
physics,6,What are the different types of energy?,What,39
history,6,What role did knights play in medieval society?,What,47
physics,7,How do sound waves travel?,How,26
history,7,How did the Phoenicians contribute to ancient trade?,How,52
history,8,What was the impact of the French Revolution on the world?,What,58
physics,9,What is the principle of conservation of mass?,What,46
history,9,What were the main causes of the English Civil War?,What,51
physics,10,What are the different types of galaxies?,What,41
history,10,How did the invention of gunpowder change warfare?,How,50
physics,11,What are the effects of climate change?,What,39
history,11,What was the significance of the Meiji Restoration?,What,51
physics,12,How do electric cars work?,How,26
history,12,What was the impact of Nelson Mandela's presidency?,What,51
physics,5,How does soap clean?,How,20
history,5,What were the main features of Spartan society?,What,47
physics,6,What is the water cycle?,What,24
history,6,How did the Crusades impact the Middle Ages?,How,44
physics,7,What causes lightning and thunder?,What,34
history,7,What was the significance of the Ming Dynasty?,What,46
physics,8,How does a computer store information?,How,38
history,8,What were the causes of the Spanish Armada's failure?,What,53
history,9,What was the impact of the Reformation on the Catholic Church?,What,62
physics,10,How do we measure the age of the Earth?,How,39
history,10,What were the consequences of the Treaty of Versailles?,What,55
physics,11,How does the International Space Station work?,How,46
physics,12,What are the challenges in achieving sustainable energy?,What,56
history,12,How did the Arab Spring affect the Middle East?,How,47
physics,5,How do birds migrate?,How,21
history,5,What was the significance of the Battle of Marathon?,What,52
physics,6,What are fossils and how are they formed?,What,41
history,6,How did the Renaissance influence art and culture?,How,50
history,7,What was the significance of the Ottoman Empire?,What,48
physics,8,How does a thermometer measure temperature?,How,43
history,8,What were the effects of colonialism on native populations?,What,59
history,9,What was the impact of the Glorious Revolution in England?,What,58
physics,10,How do 3D printers work?,How,24
history,10,What were the main causes of the French Revolution?,What,51
physics,11,What are the effects of global warming?,What,39
history,11,How did World War II reshape Europe?,How,36
physics,12,How is technology used in modern medicine?,How,42
history,12,What was the impact of the fall of the Berlin Wall on Europe?,What,61
physics,5,How do plants get nutrients from soil?,How,38
history,5,What was life like in a medieval castle?,What,40
physics,7,What is the theory of evolution?,What,32
history,7,How did the Roman Empire influence modern law?,How,46
physics,8,How does a solar eclipse occur?,How,31
history,8,What was the impact of the Scientific Revolution?,What,49
physics,9,How does a battery store and provide energy?,How,44
history,9,What were the causes of the American Civil War?,What,47
physics,10,How does an airplane's black box work?,How,38
history,10,What were the effects of World War I on global politics?,What,56
physics,11,How does a fusion reactor work?,How,31
history,11,What was the impact of the Spanish conquest on the Americas?,What,60
physics,12,How do quantum computers function?,How,34
history,12,How did the Internet revolutionize communication?,How,49
physics,5,How do fish sleep?,How,18
history,5,What was the significance of the Great Wall of China?,What,53
physics,6,How does a camera capture images?,How,33
history,6,What were the achievements of the Ancient Greeks?,What,49
physics,7,How does a microwave heat food?,How,31
history,7,What was the impact of the Magna Carta on English history?,What,58
physics,8,What causes global warming?,What,27
history,8,How did the Renaissance impact European society?,How,48
physics,9,How do plants convert sunlight into energy (photosynthesis)?,How,60
history,9,What was the significance of the Glorious Revolution?,What,53
physics,10,How does nuclear fission produce energy?,How,40
history,10,What was the impact of the Industrial Revolution on society?,What,60
physics,11,What are black holes?,What,21
history,11,How did the Treaty of Versailles contribute to World War II?,How,60
physics,12,What is the importance of the Hubble Space Telescope?,What,53
history,12,What were the causes of the Arab Spring?,What,40
physics,5,Why do we yawn?,Why,15
history,5,What were the main features of Roman architecture?,What,50
physics,6,What is the function of the heart in the human body?,What,52
history,6,How did the Black Death affect Europe?,How,38
physics,7,What is the role of gravity in our solar system?,What,48
history,7,How did the Silk Road facilitate trade and cultural exchange?,How,61
history,8,What was the impact of the discovery of the Americas?,What,53
physics,10,How does the immune system work?,How,32
history,10,What was the impact of the Russian Revolution?,What,46
physics,11,How does a jet engine work?,How,27
history,11,How did colonialism shape modern Africa?,How,40
physics,12,What is the significance of the discovery of exoplanets?,What,56
history,12,How did the Cold War influence global politics?,How,47
physics,5,How do animals adapt to their environment?,How,42
history,5,What were the achievements of the ancient Mayans?,What,49
physics,6,What are the basic principles of genetics?,What,42
history,6,How did the Renaissance change art and science?,How,47
physics,7,What is the structure of the Earth?,What,35
history,7,What was the significance of the Spanish Armada?,What,48
physics,8,How do plants breathe?,How,22
history,8,What was the role of women in ancient civilizations?,What,52
physics,10,What is the theory of plate tectonics?,What,38
history,10,What were the causes and effects of the Spanish-American War?,What,61
physics,11,How does the human brain process information?,How,45
history,11,What was the impact of the French Revolution on Europe?,What,55
physics,12,What are the challenges of deep space exploration?,What,50
history,12,What was the significance of the fall of the Berlin Wall?,What,57
physics,5,How do bees pollinate plants?,How,29
history,5,What was life like in the Roman Empire?,What,39
physics,6,How does a plant make food?,How,27
physics,7,What causes volcanic eruptions?,What,31
history,7,How did the invention of the compass change exploration?,How,56
physics,8,How does a light bulb work?,How,27
history,8,What were the causes of the Reformation?,What,40
physics,9,How does a telescope magnify distant objects?,How,45
history,9,What was the impact of the Age of Exploration on indigenous populations?,What,72
physics,10,How does a seismograph work?,How,28
physics,11,How does a nuclear power plant generate electricity?,How,52
history,11,How did the discovery of the New World change European societies?,How,65
physics,12,What is the significance of gene therapy?,What,41
history,12,How did the Gulf Wars affect the Middle East?,How,45
physics,5,Why do we need vitamins?,Why,24
history,5,What were the achievements of ancient Mesopotamia?,What,50
physics,6,How do bridges support weight?,How,30
history,6,How did the Ottoman Empire influence the world?,How,47
physics,7,How does a radio transmit sound?,How,32
history,7,What was the impact of the Renaissance on global trade?,What,55
physics,8,How do digital cameras capture images?,How,38
history,8,What were the consequences of the Thirty Years' War?,What,52
physics,9,How does a GPS system work?,How,27
history,9,What was the significance of the Scientific Revolution?,What,55
physics,10,What are stem cells and how can they be used?,What,45
history,10,What was the impact of the French Revolution on global politics?,What,64
physics,11,How do satellites stay in orbit?,How,32
history,11,How did World War I reshape European borders?,How,45
physics,12,What are the latest developments in renewable energy technology?,What,64
history,12,What was the impact of the end of apartheid in South Africa?,What,60
